1	1	1	1	Some additional information that we would need to replicate the experiment is how much vinegar should be placed in each identical container, how or what tool to use to measure the mass of the four different samples and how much distilled water to use to rinse the four samples after taking them out of the vinegar.
4	1	0	0	The student should list what rock is better and what rock is the worse in the procedure.
9	1	3	3	Some additional information you will need are the material. You also need to know the size of the contaneir to measure how the acid rain effected it. You need to know how much vineager is used for each sample. Another thing that would help is to know how big the sample stones are by measureing  the best possible way.
31	1	2	2	I additional information that I would need to replicate the experiment is to add where your going to leave the samples for 24 hours. Another one that they would need to add in order for me to replicate the experiment is to clearly state the independent variable. I would also need them to state how much vinegar to pour into each seperate but identical, container.
38	1	0	0	I will need to know what's the purpose for this experiment, know the difference in mass for each sample, and I need to know an esimate of what they thought the starting and ending mass was.
40	1	2	2	In order to replicate this experiment I would need to know, first how to calculate the mass of the samples. I would also need t o know what the four samples are, as if is not stated in the procedure. Lastly to repeat this expirement I would need to know how much vinegar was placed into each container.
41	1	1	1	Additional information that would be needed to replicate the data would be what equipment is needed for the experiment,what materials are going to be used,and how much of each material will be used?
48	1	0	0	There could be more than 1 test for each sample. There could also have a constant added to the expariement. Also, there are to softy instanchings in the experiment like put on goggles before eyes where gloves when touching the vinegar
49	1	0	0	They should take more notes, that way, in case they mess up, they can have a the information how to redo it.
54	1	2	2	In order to replicate the group's I would need to know how much vinegar to pour in each of the four and how long  containers, how much the sample you need to add you need to rinse the samples.
59	1	3	3	Some additional information that you would need is how many vinegar are you pouring in. Also in step 3 it says add a sample of each material. We need to know how big the sample would have to be. Something that could effect the data could be what temperature are you putting this experiment in, is it room temperature, we need to know this.
61	1	1	1	"You would need the amount of vinegar being poured into each of the caps. That because the experiment only tell you to ""pour vinegar"" but when people read if they might not know how much vinegar to put."
66	1	0	0	To exactly replicate this experiment you would have to know, how they measured the mass of the object, because without that how would we figure out the different masses. We have to know the starting mass, the ending mass and the difference in mass.
